season_year,week,team_name,opponent_name,team_score,opponent_score,is_home,is_district,opponent_division,opponent_select_status
2025,1,Ruston,Acadiana,49,7,FALSE,FALSE,I,Select
2025,2,Ruston,Cabot (AR),63,28,FALSE,FALSE,,
2025,3,Ruston,Longview (TX),38,35,TRUE,FALSE,,
2025,4,Ruston,Midland Legacy (TX),49,21,FALSE,FALSE,,
2025,5,Ruston,Stephenville (TX),12,28,FALSE,FALSE,,
2025,6,Ruston,Ouachita Parish,21,14,TRUE,TRUE,I,Non-Select
2025,7,Ruston,Neville,41,38,FALSE,TRUE,I,Non-Select
2025,8,Ruston,Alexandria,28,45,TRUE,TRUE,I,Select
2025,9,Ruston,Pineville,56,6,FALSE,TRUE,I,Select
2025,10,Ruston,West Monroe,49,44,TRUE,TRUE,I,Non-Select
2025,1,Neville,Evangel Christian,33,32,TRUE,FALSE,I,Select
2025,2,Neville,Calvary Baptist,14,17,TRUE,FALSE,III,Select
2025,3,Neville,Oak Grove,7,36,FALSE,FALSE,III,Non-Select
2025,4,Neville,St. Thomas More,23,27,FALSE,FALSE,I,Select
2025,5,Neville,Sterlington,28,21,TRUE,FALSE,III,Non-Select
2025,6,Neville,Pineville,56,6,FALSE,TRUE,I,Select
2025,7,Neville,Ruston,38,41,TRUE,TRUE,I,Non-Select
2025,8,Neville,Ouachita Parish,38,37,FALSE,TRUE,I,Non-Select
2025,9,Neville,West Monroe,22,19,FALSE,TRUE,I,Non-Select
2025,10,Neville,Alexandria,31,14,TRUE,TRUE,I,Select
2025,1,Destrehan,Catholic - B.R.,23,32,FALSE,FALSE,I,Select
2025,2,Destrehan,Bonnabel,58,20,TRUE,FALSE,I,Select
2025,3,Destrehan,Alexandria,21,27,TRUE,FALSE,I,Select
2025,4,Destrehan,East St. John,50,6,FALSE,TRUE,I,Non-Select
2025,5,Destrehan,Terrebonne,41,28,TRUE,TRUE,I,Non-Select
2025,6,Destrehan,H.L. Bourgeois,53,6,TRUE,TRUE,I,Non-Select
2025,7,Destrehan,Captain Shreve,68,28,FALSE,FALSE,I,Select
2025,8,Destrehan,Central Lafourche,46,7,FALSE,TRUE,I,Non-Select
2025,9,Destrehan,Hahnville,49,28,FALSE,TRUE,I,Non-Select
2025,10,Destrehan,Thibodaux,49,26,TRUE,TRUE,I,Non-Select
2025,1,Denham Springs,Hammond,34,15,FALSE,FALSE,I,Select
2025,2,Denham Springs,Central - B.R.,28,34,TRUE,FALSE,I,Non-Select
2025,3,Denham Springs,Woodlawn - B.R.,33,0,TRUE,FALSE,I,Select
2025,4,Denham Springs,East Ascension,20,26,FALSE,TRUE,I,Non-Select
2025,5,Denham Springs,Southern Lab,41,14,FALSE,FALSE,IV,Select
2025,6,Denham Springs,Live Oak,63,34,FALSE,TRUE,I,Non-Select
2025,7,Denham Springs,Dutchtown,42,24,TRUE,TRUE,I,Non-Select
2025,8,Denham Springs,Prairieville,51,13,TRUE,TRUE,I,Non-Select
2025,9,Denham Springs,Walker,62,34,FALSE,TRUE,I,Non-Select
2025,10,Denham Springs,St. Amant,54,26,TRUE,TRUE,I,Non-Select
2025,1,Parkway,Carroll,43,13,TRUE,FALSE,II,Non-Select
2025,2,Parkway,Woodlawn - Shrev.,56,6,TRUE,FALSE,II,Non-Select
2025,3,Parkway,Haughton,66,21,TRUE,TRUE,I,Non-Select
2025,4,Parkway,Natchitoches Central,69,40,TRUE,TRUE,I,Non-Select
2025,5,Parkway,C.E. Byrd,52,24,FALSE,TRUE,I,Select
2025,6,Parkway,Airline,48,43,TRUE,TRUE,I,Non-Select
2025,7,Parkway,Huntington,30,19,FALSE,TRUE,I,Select
2025,8,Parkway,Captain Shreve,45,42,TRUE,TRUE,I,Select
2025,9,Parkway,Benton,58,42,FALSE,TRUE,I,Non-Select
2025,10,Parkway,Evangel Christian,27,55,FALSE,TRUE,I,Select
2025,1,Northwood - Shrev.,Benton,49,16,FALSE,FALSE,I,Non-Select
2025,2,Northwood - Shrev.,Peabody,61,13,TRUE,FALSE,II,Select
2025,3,Northwood - Shrev.,Mansfield,62,26,TRUE,FALSE,III,Non-Select
2025,4,Northwood - Shrev.,North DeSoto,26,52,TRUE,TRUE,II,Non-Select
2025,5,Northwood - Shrev.,Woodlawn - Shrev.,42,0,TRUE,TRUE,II,Non-Select
2025,6,Northwood - Shrev.,Booker T. Washington - Shr.,48,8,FALSE,TRUE,II,Select
2025,7,Northwood - Shrev.,Bossier,48,14,FALSE,TRUE,II,Non-Select
2025,8,Northwood - Shrev.,Southwood,47,6,FALSE,TRUE,I,Select
2025,9,Northwood - Shrev.,Minden,42,0,TRUE,TRUE,II,Non-Select
2025,10,Northwood - Shrev.,Loyola Prep,27,28,FALSE,TRUE,II,Select
2025,1,Southside,Notre Dame,28,35,TRUE,FALSE,III,Select
2025,2,Southside,Westgate,34,20,FALSE,FALSE,I,Non-Select
2025,3,Southside,Madison Prep,35,22,TRUE,FALSE,II,Select
2025,4,Southside,Lafayette,45,24,FALSE,TRUE,I,Select
2025,5,Southside,Barbe,39,28,FALSE,TRUE,I,Non-Select
2025,6,Southside,Sam Houston,52,28,TRUE,TRUE,I,Non-Select
2025,7,Southside,Sulphur,63,17,TRUE,TRUE,I,Non-Select
2025,8,Southside,Acadiana,14,17,TRUE,FALSE,I,Select
2025,9,Southside,Carencro,70,35,FALSE,TRUE,I,Select
2025,10,Southside,New Iberia,65,7,TRUE,TRUE,I,Non-Select
2025,1,Terrebonne,Riverside Academy,24,13,FALSE,FALSE,IV,Select
2025,2,Terrebonne,A.J. Ellender,42,3,TRUE,FALSE,II,Non-Select
2025,3,Terrebonne,St. James,28,8,TRUE,FALSE,III,Non-Select
2025,4,Terrebonne,Hahnville,52,38,TRUE,TRUE,I,Non-Select
2025,5,Terrebonne,Destrehan,28,41,FALSE,TRUE,I,Non-Select
2025,6,Terrebonne,St. Charles,28,31,TRUE,FALSE,II,Select
2025,7,Terrebonne,East St. John,52,14,FALSE,TRUE,I,Non-Select
2025,8,Terrebonne,H.L. Bourgeois,49,0,TRUE,TRUE,I,Non-Select
2025,9,Terrebonne,Thibodaux,21,27,FALSE,TRUE,I,Non-Select
2025,10,Terrebonne,Central Lafourche,52,25,TRUE,TRUE,I,Non-Select
